MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Dec 02, 2019 - CHA vs. PHX",L,48,104,38,84,45.2,7,25,28.0,21,26,80.8,14,39,53,27,19,4,7,23,-5
"Nov 30, 2019 - CHA @ MIL",L,48,96,37,101,36.6,15,45,33.3,7,8,87.5,15,38,53,21,12,4,1,18,-41
"Nov 29, 2019 - CHA @ DET",W,48,110,40,83,48.2,19,38,50.0,11,15,73.3,11,26,37,26,10,8,6,17,3
"Nov 27, 2019 - CHA vs. DET",W,48,102,39,88,44.3,7,30,23.3,17,20,85.0,10,31,41,27,4,3,7,18,1
"Nov 25, 2019 - CHA @ MIA",L,48,100,36,87,41.4,9,33,27.3,19,25,76.0,10,25,35,25,14,11,0,24,-17
"Nov 23, 2019 - CHA vs. CHI",L,48,115,44,80,55.0,12,28,42.9,15,22,68.2,10,33,43,26,20,5,7,17,-1
"Nov 22, 2019 - CHA @ WAS",L,48,118,48,93,51.6,14,34,41.2,8,8,100,7,37,44,24,16,9,5,18,-7
"Nov 20, 2019 - CHA @ BKN",L,48,91,30,81,37.0,11,33,33.3,20,26,76.9,8,33,41,17,16,8,3,23,-10
"Nov 18, 2019 - CHA @ TOR",L,48,96,33,78,42.3,15,45,33.3,15,24,62.5,9,28,37,26,20,3,8,19,-36
"Nov 16, 2019 - CHA @ NYK",W,48,103,36,87,41.4,17,48,35.4,14,19,73.7,12,30,42,22,10,5,3,18,1
"Nov 15, 2019 - CHA vs. DET",W,48,109,43,96,44.8,13,35,37.1,10,16,62.5,14,27,41,22,11,10,3,17,3
"Nov 13, 2019 - CHA vs. MEM",L,48,117,43,87,49.4,16,36,44.4,15,19,78.9,7,27,34,27,15,8,5,12,-2
"Nov 10, 2019 - CHA @ PHI",L,48,106,38,84,45.2,14,33,42.4,16,22,72.7,6,25,31,22,13,9,1,19,-8
"Nov 09, 2019 - CHA vs. NOP",L,48,110,36,88,40.9,12,35,34.3,26,34,76.5,13,29,42,27,22,10,2,27,-5
"Nov 07, 2019 - CHA vs. BOS",L,48,87,33,86,38.4,6,31,19.4,15,21,71.4,9,40,49,21,21,7,9,19,-21
"Nov 05, 2019 - CHA vs. IND",W,53,122,42,88,47.7,10,31,32.3,28,42,66.7,10,27,37,22,13,7,4,17,2
"Nov 02, 2019 - CHA @ GSW",W,48,93,36,85,42.4,5,29,17.2,16,23,69.6,16,32,48,18,13,6,1,15,6
"Oct 30, 2019 - CHA @ SAC",W,48,118,46,84,54.8,16,32,50.0,10,14,71.4,10,36,46,30,21,8,3,17,7
"Oct 28, 2019 - CHA @ LAC",L,48,96,36,83,43.4,14,39,35.9,10,14,71.4,9,29,38,24,22,5,3,23,-15
"Oct 27, 2019 - CHA @ LAL",L,48,101,35,91,38.5,10,35,28.6,21,23,91.3,13,32,45,19,16,7,4,20,-19
"Oct 25, 2019 - CHA vs. MIN",L,48,99,37,84,44.0,12,29,41.4,13,26,50.0,9,33,42,26,20,6,5,29,-22
"Oct 23, 2019 - CHA vs. CHI",W,48,126,45,88,51.1,23,44,52.3,13,16,81.3,9,32,41,28,19,3,4,18,1
