MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Nov 20, 2021 - SAC vs. UTA",L,110.63,40.52,87.65,46.35,11.28,32.6,34.84,18.31,23.85,76.9,9.42,33.14,42.55,24.03,14.06,7.17,4.37,18.8,-6.37
"Nov 19, 2021 - SAC vs. TOR",L,110.55,40.53,87.7,46.33,11.26,32.58,34.8,18.23,23.8,76.68,9.39,33.05,42.44,23.97,13.97,7.18,4.38,18.73,-6.55
"Nov 17, 2021 - SAC @ MIN",L,110.22,40.4,87.64,46.2,11.22,32.64,34.64,18.19,23.82,76.49,9.42,32.99,42.4,23.84,13.99,7.19,4.37,18.72,-6.73
"Nov 15, 2021 - SAC @ DET",W,110.03,40.31,87.72,46.06,11.21,32.72,34.52,18.21,23.84,76.48,9.57,32.9,42.47,23.76,14.07,7.19,4.35,18.76,-6.78
"Nov 12, 2021 - SAC @ OKC",L,110.3,40.48,87.87,46.17,11.28,32.72,34.72,18.07,23.65,76.56,9.59,32.94,42.54,23.88,14.07,7.25,4.36,18.74,-6.36
"Nov 10, 2021 - SAC @ SAS",L,110.2,40.44,87.97,46.08,11.31,32.84,34.71,18.0,23.56,76.56,9.61,33.01,42.63,23.83,14.07,7.21,4.4,18.64,-6.3
"Nov 08, 2021 - SAC vs. PHX",L,110.3,40.54,88.01,46.15,11.3,32.89,34.62,17.93,23.45,76.62,9.63,33.01,42.65,23.77,14.08,7.17,4.42,18.75,-6.48
"Nov 07, 2021 - SAC vs. IND",L,110.21,40.49,87.93,46.14,11.28,32.76,34.72,17.96,23.49,76.63,9.61,33.08,42.69,23.69,14.22,7.15,4.44,18.74,-6.46
"Nov 05, 2021 - SAC vs. CHA",W,109.95,40.36,87.88,46.01,11.26,32.78,34.64,17.97,23.47,76.76,9.59,32.97,42.56,23.64,14.19,7.25,4.47,18.73,-6.41
"Nov 03, 2021 - SAC vs. NOP",W,110.35,40.46,87.86,46.14,11.41,32.93,34.85,18.03,23.5,76.87,9.64,33.11,42.74,23.72,14.24,7.22,4.42,18.76,-5.92
"Nov 02, 2021 - SAC @ UTA",L,110.37,40.48,87.76,46.22,11.39,32.89,34.83,18.03,23.48,76.93,9.56,33.11,42.67,23.76,14.16,7.23,4.45,18.79,-5.67
"Oct 31, 2021 - SAC @ DAL",L,110.41,40.5,87.83,46.21,11.39,32.87,34.88,18.01,23.49,76.85,9.51,33.09,42.61,23.76,14.12,7.24,4.5,18.86,-5.67
"Oct 29, 2021 - SAC @ NOP",W,110.26,40.47,87.94,46.12,11.34,32.91,34.68,17.99,23.44,76.89,9.61,33.17,42.78,23.71,14.1,7.22,4.48,18.86,-5.68
"Oct 27, 2021 - SAC @ PHX",W,110.29,40.46,87.83,46.17,11.31,32.83,34.66,18.06,23.46,77.14,9.53,33.28,42.81,23.65,14.1,7.18,4.49,18.87,-5.55
"Oct 24, 2021 - SAC vs. GSW",L,110.29,40.48,87.92,46.15,11.35,32.9,34.72,17.97,23.35,77.09,9.51,33.27,42.77,23.71,14.08,7.18,4.51,18.89,-5.44
"Oct 22, 2021 - SAC vs. UTA",L,110.25,40.5,87.9,46.18,11.4,33.06,34.7,17.85,23.23,76.89,9.51,33.31,42.83,23.74,14.14,7.09,4.5,18.85,-5.53
"Oct 20, 2021 - SAC @ POR",W,110.14,40.48,88.04,46.1,11.36,33.1,34.54,17.81,23.2,76.83,9.59,33.35,42.94,23.69,14.15,7.19,4.51,18.89,-5.57
