MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Nov 17, 2021 - DET vs. IND",W,106.19,38.69,88.91,43.61,11.4,34.25,33.4,17.41,22.18,78.39,10.9,32.22,43.12,23.9,13.87,7.46,4.76,22.63,-7.38
"Nov 15, 2021 - DET vs. SAC",L,106.06,38.62,88.78,43.59,11.35,34.16,33.33,17.46,22.26,78.34,10.86,32.25,43.1,23.78,13.86,7.54,4.77,22.59,-7.16
"Nov 13, 2021 - DET @ TOR",W,106.07,38.63,88.89,43.55,11.37,34.34,33.25,17.44,22.19,78.56,10.93,32.23,43.16,23.77,13.91,7.53,4.73,22.41,-7.37
"Nov 12, 2021 - DET @ CLE",L,106.37,38.69,88.75,43.7,11.42,34.35,33.39,17.56,22.3,78.68,10.9,32.13,43.03,23.92,13.92,7.49,4.75,22.42,-7.18
"Nov 10, 2021 - DET @ HOU",W,105.97,38.56,88.61,43.6,11.39,34.29,33.34,17.47,22.17,78.76,10.89,32.14,43.03,23.83,14.04,7.56,4.75,22.29,-7.36
"Nov 05, 2021 - DET vs. BKN",L,106.05,38.6,88.73,43.6,11.45,34.48,33.34,17.4,22.11,78.59,10.96,32.15,43.11,23.82,14.04,7.53,4.77,22.34,-7.15
"Nov 04, 2021 - DET vs. PHI",L,105.84,38.53,88.7,43.52,11.45,34.47,33.33,17.34,22.05,78.51,10.91,32.22,43.12,23.73,14.04,7.58,4.78,22.34,-7.14
"Nov 02, 2021 - DET vs. MIL",L,105.73,38.48,88.68,43.48,11.44,34.49,33.29,17.33,22.01,78.65,10.92,32.17,43.09,23.69,14.0,7.56,4.75,22.28,-7.19
"Oct 31, 2021 - DET @ BKN",L,105.51,38.37,88.74,43.33,11.39,34.66,33.08,17.38,22.12,78.54,10.96,32.13,43.09,23.66,14.0,7.53,4.75,22.28,-7.46
"Oct 30, 2021 - DET vs. ORL",W,105.32,38.29,88.61,43.29,11.4,34.64,33.12,17.35,22.12,78.41,10.91,32.0,42.91,23.62,14.01,7.58,4.73,22.22,-7.7
"Oct 28, 2021 - DET @ PHI",L,105.38,38.26,88.62,43.26,11.44,34.74,33.12,17.44,22.22,78.43,10.99,31.99,42.97,23.65,14.04,7.64,4.74,22.17,-7.51
"Oct 25, 2021 - DET @ ATL",L,105.34,38.22,88.58,43.23,11.46,34.8,33.12,17.46,22.28,78.32,10.97,31.92,42.9,23.63,14.04,7.68,4.73,22.16,-7.52
"Oct 23, 2021 - DET @ CHI",L,105.33,38.24,88.61,43.23,11.43,34.77,33.05,17.43,22.23,78.39,10.97,31.84,42.81,23.66,14.04,7.67,4.75,22.07,-7.65
"Oct 20, 2021 - DET vs. CHI",L,105.04,38.19,88.6,43.18,11.35,34.69,32.86,17.32,22.14,78.16,10.98,31.96,42.94,23.54,14.15,7.69,4.79,22.01,-7.74
