MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Jan 09, 2024 - ORL vs. MIN",L,108.13,40.02,82.93,48.41,11.07,31.29,35.73,17.02,22.53,75.55,9.96,31.09,41.04,24.56,14.47,8.02,4.91,18.27,2.6
"Jan 07, 2024 - ORL vs. ATL",W,107.78,39.89,83.17,48.14,11.11,31.52,35.62,16.89,22.43,75.23,10.09,31.07,41.15,24.46,14.43,8.13,4.91,18.35,2.09
"Jan 05, 2024 - ORL @ DEN",W,107.98,39.96,83.49,48.05,11.23,31.72,35.75,16.83,22.43,74.99,10.15,31.34,41.49,24.47,14.4,8.13,4.87,18.47,2.19
"Jan 03, 2024 - ORL @ SAC",L,108.27,39.98,83.46,48.09,11.35,31.81,35.99,16.96,22.67,74.83,10.17,31.29,41.46,24.48,14.42,8.15,4.83,18.5,2.19
"Jan 02, 2024 - ORL @ GSW",L,108.82,40.06,83.59,48.11,11.63,32.06,36.41,17.06,22.76,74.97,10.1,31.31,41.41,24.65,14.55,8.18,4.88,18.73,2.08
"Dec 31, 2023 - ORL @ PHX",L,108.94,40.08,83.76,48.04,11.68,32.14,36.46,17.1,22.76,75.12,10.22,31.18,41.4,24.54,14.62,8.18,4.86,18.84,1.92
"Dec 29, 2023 - ORL vs. NYK",W,108.9,40.12,83.88,48.01,11.69,32.24,36.38,16.98,22.55,75.45,10.18,31.29,41.47,24.49,14.63,8.06,4.84,18.82,1.78
"Dec 27, 2023 - ORL vs. PHI",L,109.06,40.12,83.98,47.95,11.6,32.25,36.09,17.23,22.88,75.44,10.25,31.37,41.62,24.48,14.63,8.1,4.87,18.85,1.92
"Dec 26, 2023 - ORL @ WAS",W,108.74,39.94,83.89,47.79,11.55,32.26,35.92,17.3,22.91,75.67,10.23,31.42,41.64,24.34,14.66,8.04,4.98,18.83,1.51
"Dec 23, 2023 - ORL @ IND",W,109.07,40.11,84.06,47.88,11.56,32.15,36.11,17.3,22.94,75.52,10.17,31.44,41.61,24.44,14.69,8.09,4.98,18.78,1.63
