MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Nov 28, 2023 - DAL vs. HOU",W,117.42,43.18,89.31,48.44,14.25,38.72,36.55,16.8,22.06,75.36,9.65,33.49,43.14,25.88,12.8,7.14,5.18,18.25,2.42
"Nov 25, 2023 - DAL @ LAC",L,117.47,43.17,89.3,48.42,14.21,38.65,36.53,16.92,22.17,75.52,9.64,33.42,43.06,25.86,12.71,7.11,5.17,18.35,2.47
"Nov 22, 2023 - DAL @ LAL",W,117.03,43.03,89.33,48.25,14.13,38.64,36.34,16.84,22.04,75.57,9.64,33.33,42.97,25.73,12.66,7.09,5.16,18.43,2.15
"Nov 19, 2023 - DAL vs. SAC",L,116.84,42.96,89.43,48.13,14.16,38.81,36.27,16.76,21.96,75.56,9.66,33.38,43.04,25.66,12.53,7.06,5.15,18.43,2.16
"Nov 18, 2023 - DAL @ MIL",L,116.78,42.93,89.41,48.1,14.13,38.74,36.26,16.8,22.01,75.52,9.68,33.32,43.0,25.62,12.49,7.07,5.1,18.38,1.9
"Nov 15, 2023 - DAL @ WAS",W,116.9,43.04,89.6,48.12,14.16,38.86,36.23,16.66,21.84,75.44,9.7,33.39,43.09,25.64,12.49,6.99,5.06,18.34,1.77
"Nov 14, 2023 - DAL @ NOP",L,117.08,43.11,89.63,48.18,14.2,38.9,36.29,16.66,21.94,75.21,9.69,33.44,43.13,25.73,12.45,6.97,5.04,18.31,1.93
"Nov 12, 2023 - DAL @ NOP",W,116.99,43.04,89.64,48.1,14.19,38.94,36.24,16.71,22.0,75.23,9.78,33.38,43.15,25.72,12.56,6.93,5.01,18.28,1.61
"Nov 10, 2023 - DAL vs. LAC",W,117.25,43.14,89.81,48.11,14.27,39.14,36.26,16.7,21.99,75.24,9.75,33.38,43.14,25.77,12.47,6.93,5.03,18.29,1.75
"Nov 08, 2023 - DAL vs. TOR",L,117.61,43.24,89.92,48.16,14.34,39.18,36.39,16.78,22.04,75.42,9.82,33.28,43.11,25.82,12.42,6.93,4.97,18.35,1.97
"Nov 06, 2023 - DAL @ ORL",W,117.59,43.2,89.84,48.15,14.37,39.2,36.45,16.81,22.16,75.23,9.77,33.27,43.04,25.81,12.47,6.89,4.99,18.39,1.8
"Nov 05, 2023 - DAL vs. CHA",W,117.58,43.17,89.74,48.18,14.38,39.21,36.47,16.86,22.24,75.18,9.71,33.17,42.88,25.75,12.5,6.92,5.0,18.41,1.97
"Nov 03, 2023 - DAL @ DEN",L,117.66,43.17,89.75,48.17,14.38,39.25,36.43,16.95,22.36,75.18,9.7,33.23,42.94,25.82,12.48,6.87,5.01,18.42,2.03
"Nov 01, 2023 - DAL vs. CHI",W,117.62,43.14,89.71,48.16,14.41,39.28,36.48,16.92,22.29,75.35,9.71,33.12,42.82,25.83,12.51,6.94,5.03,18.42,1.86
"Oct 30, 2023 - DAL @ MEM",W,117.57,43.06,89.59,48.13,14.48,39.39,36.54,16.96,22.37,75.3,9.75,33.1,42.85,25.8,12.54,6.94,4.99,18.33,1.95
"Oct 27, 2023 - DAL vs. BKN",W,117.66,43.05,89.53,48.15,14.59,39.49,36.7,16.98,22.39,75.29,9.7,33.21,42.91,25.77,12.57,6.9,5.01,18.31,2.11
"Oct 25, 2023 - DAL @ SAS",W,117.75,43.06,89.54,48.16,14.59,39.44,36.76,17.04,22.46,75.34,9.68,33.2,42.88,25.7,12.53,6.88,4.98,18.27,2.15
