MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Dec 29, 2023 - TOR @ BOS",L,111.82,41.92,89.33,46.95,11.49,32.82,34.97,16.49,21.43,77.08,10.02,31.24,41.25,27.8,14.02,7.76,4.71,18.59,-9.55
"Dec 27, 2023 - TOR @ WAS",W,111.94,41.96,89.44,46.94,11.6,33.04,35.04,16.42,21.4,76.85,10.0,31.19,41.19,27.83,13.85,7.81,4.73,18.52,-9.4
"Dec 23, 2023 - TOR vs. UTA",L,112.32,42.15,89.47,47.13,11.66,33.13,35.12,16.36,21.36,76.69,10.08,31.34,41.42,28.11,13.96,7.89,4.74,18.51,-8.66
"Dec 22, 2023 - TOR @ PHI",L,112.44,42.2,89.56,47.14,11.69,33.11,35.22,16.35,21.31,76.83,10.11,31.26,41.37,28.24,13.91,7.87,4.74,18.48,-8.63
"Dec 20, 2023 - TOR vs. DEN",L,112.42,42.15,89.51,47.1,11.64,33.11,35.08,16.49,21.44,76.99,10.13,31.33,41.45,28.27,13.87,7.89,4.76,18.44,-8.65
"Dec 18, 2023 - TOR vs. CHA",W,112.27,42.16,89.52,47.11,11.59,33.0,35.05,16.36,21.29,76.85,10.12,31.32,41.45,28.23,13.82,7.8,4.77,18.32,-8.66
"Dec 15, 2023 - TOR vs. ATL",L,112.3,42.19,89.46,47.18,11.53,32.93,34.92,16.39,21.3,76.94,10.21,31.4,41.61,28.26,13.91,7.74,4.75,18.28,-8.25
"Dec 13, 2023 - TOR vs. ATL",W,112.16,42.16,89.24,47.27,11.5,32.9,34.87,16.34,21.36,76.58,10.09,31.36,41.45,28.29,13.91,7.74,4.78,18.29,-8.47
"Dec 11, 2023 - TOR @ NYK",L,112.54,42.29,89.2,47.44,11.61,32.92,35.18,16.36,21.41,76.48,10.07,31.47,41.54,28.47,13.93,7.66,4.85,18.29,-8.2
"Dec 08, 2023 - TOR @ CHA",L,112.83,42.37,89.32,47.47,11.65,33.02,35.19,16.45,21.55,76.43,10.18,31.3,41.48,28.53,13.87,7.73,4.77,18.33,-8.17
"Dec 06, 2023 - TOR vs. MIA",L,112.89,42.44,89.38,47.51,11.56,33.0,34.92,16.44,21.54,76.42,10.25,31.25,41.49,28.59,13.87,7.72,4.72,18.38,-8.08
"Dec 01, 2023 - TOR vs. NYK",L,112.73,42.35,89.32,47.44,11.6,33.06,34.97,16.42,21.47,76.61,10.21,31.35,41.56,28.6,13.87,7.65,4.77,18.37,-8.1
"Nov 29, 2023 - TOR vs. PHX",W,112.62,42.38,89.49,47.39,11.51,33.05,34.71,16.35,21.4,76.52,10.35,31.32,41.67,28.65,13.84,7.63,4.79,18.38,-8.17
