MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Apr 12, 2024 - NYK vs. BKN",W,120.0,46.0,91.0,50.5,12.0,32.0,37.5,16.0,21.0,76.2,16.0,37.0,53.0,27.0,21.0,7.0,6.0,17.0,1.0
"Apr 11, 2024 - NYK @ BOS",W,115.5,42.0,87.0,48.15,13.0,31.0,42.1,18.5,23.0,80.1,12.0,30.0,42.0,24.0,13.0,8.5,4.5,16.0,2.5
"Apr 09, 2024 - NYK @ CHI",W,116.33,44.33,91.0,48.6,13.33,32.67,41.03,14.33,18.67,73.4,13.67,31.67,45.33,24.0,13.67,8.0,4.33,14.67,4.67
"Apr 07, 2024 - NYK @ MIL",W,119.25,44.75,89.0,50.3,14.25,33.5,42.58,15.5,19.0,78.8,11.75,30.0,41.75,25.75,13.0,7.5,4.25,14.75,6.25
"Apr 05, 2024 - NYK @ CHI",L,119.8,44.8,89.6,50.02,14.2,32.6,43.72,16.0,19.6,79.4,12.0,29.6,41.6,25.6,11.8,7.8,4.6,16.2,7.6
"Apr 04, 2024 - NYK vs. SAC",W,116.5,43.33,88.5,48.92,13.5,32.0,42.18,16.33,20.33,78.67,11.5,29.5,41.0,25.0,12.83,8.0,4.17,16.0,5.0
"Apr 02, 2024 - NYK @ MIA",L,117.0,43.43,87.29,49.79,13.29,31.43,42.29,16.86,21.57,77.29,11.14,29.57,40.71,26.29,12.86,8.14,3.86,16.57,5.86
"Mar 31, 2024 - NYK vs. OKC",L,114.75,42.38,85.88,49.33,13.12,31.75,41.41,16.88,21.5,77.75,10.62,28.75,39.38,26.12,13.0,8.5,3.62,16.62,3.88
"Mar 29, 2024 - NYK @ SAS",L,114.44,41.89,86.56,48.43,13.11,33.0,40.17,17.56,22.89,76.62,11.11,29.0,40.11,25.89,12.78,8.44,3.56,16.89,3.33
"Mar 27, 2024 - NYK @ TOR",W,115.6,42.8,88.9,48.23,13.2,33.4,39.93,16.8,21.8,77.29,11.8,29.3,41.1,25.7,12.7,8.6,3.3,17.6,2.6
"Mar 25, 2024 - NYK vs. DET",W,118.27,43.91,89.36,49.16,14.0,34.36,40.85,16.45,21.27,77.65,12.09,29.09,41.18,26.73,12.55,8.45,3.73,17.55,6.36
