MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Dec 26, 2023 - CHI vs. ATL",W,113.58,42.84,89.36,48.13,11.14,31.48,35.17,16.76,21.26,78.92,10.88,33.62,44.5,25.8,12.42,7.58,4.86,18.24,-0.96
"Dec 23, 2023 - CHI vs. CLE",L,113.67,42.82,89.41,48.08,11.06,31.35,35.03,16.96,21.45,79.08,11.02,33.55,44.57,25.75,12.37,7.63,4.8,18.22,-0.84
"Dec 21, 2023 - CHI vs. SAS",W,113.31,42.67,89.23,48.0,11.0,31.42,34.8,16.96,21.4,79.28,10.9,33.52,44.42,25.69,12.37,7.6,4.81,18.29,-1.1
"Dec 20, 2023 - CHI vs. LAL",W,113.32,42.79,89.25,48.12,10.92,31.36,34.61,16.81,21.21,79.33,10.79,33.47,44.26,25.66,12.36,7.66,4.81,18.28,-0.72
"Dec 18, 2023 - CHI @ PHI",W,113.52,42.89,89.22,48.24,11.06,31.41,34.95,16.69,21.02,79.54,10.72,33.61,44.33,25.65,12.43,7.65,4.83,18.22,-0.41
"Dec 16, 2023 - CHI @ MIA",L,113.42,42.87,89.22,48.22,11.07,31.36,35.07,16.6,20.91,79.55,10.73,33.62,44.35,25.62,12.38,7.64,4.91,18.16,-0.33
"Dec 14, 2023 - CHI @ MIA",W,113.46,42.77,89.0,48.21,11.16,31.48,35.19,16.77,21.05,79.73,10.73,33.54,44.27,25.61,12.43,7.64,4.89,18.18,-0.36
"Dec 12, 2023 - CHI vs. DEN",L,113.65,42.81,89.07,48.22,11.21,31.56,35.26,16.82,21.21,79.5,10.74,33.51,44.25,25.72,12.3,7.65,4.84,18.26,-0.21
"Dec 11, 2023 - CHI @ MIL",L,113.52,42.69,89.02,48.11,11.24,31.71,35.21,16.9,21.24,79.71,10.74,33.45,44.19,25.72,12.33,7.62,4.91,18.33,-0.34
"Dec 08, 2023 - CHI @ SAS",W,113.78,42.76,89.44,47.99,11.31,31.75,35.36,16.95,21.31,79.71,10.86,33.44,44.31,25.71,12.22,7.54,4.9,18.47,-0.41
"Dec 06, 2023 - CHI vs. CHA",W,113.9,42.83,89.65,47.96,11.33,31.68,35.55,16.9,21.35,79.35,11.08,33.42,44.5,25.73,12.15,7.57,4.85,18.48,-0.25
"Dec 02, 2023 - CHI vs. NOP",W,113.85,42.75,89.66,47.87,11.34,31.57,35.75,17.0,21.48,79.35,11.25,33.46,44.7,25.69,12.21,7.54,4.87,18.44,-0.07
"Nov 30, 2023 - CHI vs. MIL",W,114.02,42.84,89.63,47.97,11.44,31.71,35.86,16.9,21.37,79.25,11.26,33.39,44.65,25.79,12.23,7.52,4.92,18.48,0.03
"Nov 28, 2023 - CHI @ BOS",L,114.11,42.87,89.76,47.94,11.46,31.79,35.85,16.9,21.38,79.22,11.3,33.44,44.75,25.89,12.37,7.62,4.9,18.48,0.14
"Nov 26, 2023 - CHI @ BKN",L,113.84,42.81,89.77,47.87,11.42,31.73,35.79,16.8,21.33,78.85,11.27,33.36,44.62,25.88,12.3,7.67,4.94,18.39,-0.28
"Nov 24, 2023 - CHI @ TOR",L,113.77,42.77,89.66,47.87,11.43,31.74,35.82,16.8,21.34,78.83,11.25,33.31,44.55,25.8,12.28,7.6,4.89,18.38,-0.42
"Nov 22, 2023 - CHI @ OKC",L,113.68,42.76,89.55,47.92,11.44,31.67,35.95,16.73,21.3,78.59,11.21,33.23,44.44,25.71,12.29,7.56,4.85,18.41,-0.61
"Nov 20, 2023 - CHI vs. MIA",L,113.51,42.63,89.52,47.78,11.52,31.85,35.99,16.73,21.24,78.91,11.21,33.13,44.34,25.66,12.28,7.55,4.81,18.52,-0.81
"Nov 18, 2023 - CHI vs. MIA",W,113.31,42.54,89.4,47.75,11.51,31.93,35.89,16.71,21.16,79.13,11.15,33.07,44.22,25.59,12.26,7.47,4.84,18.49,-1.06
"Nov 17, 2023 - CHI vs. ORL",L,113.14,42.45,89.28,47.7,11.58,32.12,35.89,16.67,21.13,79.05,11.13,33.09,44.22,25.57,12.28,7.49,4.86,18.54,-0.97
"Nov 15, 2023 - CHI vs. ORL",L,112.91,42.34,89.13,47.66,11.56,32.07,35.87,16.67,21.14,79.03,11.04,33.03,44.07,25.47,12.33,7.53,4.83,18.57,-1.04
"Nov 13, 2023 - CHI @ MIL",L,112.65,42.21,89.04,47.55,11.52,32.08,35.75,16.7,21.15,79.13,11.08,33.11,44.2,25.34,12.42,7.52,4.82,18.66,-1.06
"Nov 12, 2023 - CHI vs. DET",W,112.6,42.15,89.19,47.41,11.56,32.22,35.71,16.74,21.15,79.29,11.18,33.06,44.24,25.32,12.36,7.54,4.85,18.75,-1.17
"Nov 08, 2023 - CHI vs. PHX",L,112.68,42.18,89.22,47.43,11.55,32.19,35.73,16.78,21.21,79.3,11.18,33.0,44.18,25.27,12.29,7.6,4.86,18.78,-1.0
"Nov 06, 2023 - CHI vs. UTA",W,112.72,42.18,89.31,47.38,11.58,32.2,35.82,16.78,21.23,79.23,11.15,32.96,44.11,25.34,12.31,7.66,4.89,18.82,-1.0
"Nov 04, 2023 - CHI @ DEN",L,112.95,42.25,89.36,47.43,11.67,32.23,36.05,16.77,21.2,79.29,11.13,32.87,44.0,25.35,12.25,7.72,4.87,18.81,-0.76
"Nov 03, 2023 - CHI vs. BKN",L,112.79,42.21,89.32,47.41,11.61,32.14,35.93,16.76,21.22,79.17,11.11,32.8,43.91,25.38,12.24,7.71,4.84,18.82,-1.04
"Nov 01, 2023 - CHI @ DAL",L,112.71,42.22,89.31,47.42,11.6,32.09,35.97,16.68,21.13,79.06,11.08,32.81,43.88,25.32,12.21,7.66,4.83,18.74,-1.05
"Oct 30, 2023 - CHI @ IND",W,112.62,42.22,89.31,47.41,11.59,32.1,35.93,16.59,21.0,79.22,11.09,32.78,43.87,25.24,12.22,7.69,4.81,18.79,-1.15
"Oct 28, 2023 - CHI @ DET",L,112.61,42.19,89.28,47.4,11.52,31.91,35.93,16.71,21.13,79.28,11.08,32.8,43.87,25.16,12.23,7.7,4.82,18.77,-1.05
"Oct 27, 2023 - CHI vs. TOR",W,112.47,42.15,89.33,47.33,11.51,31.86,35.97,16.66,21.06,79.3,11.1,32.64,43.74,25.05,12.18,7.72,4.83,18.79,-1.24
"Oct 25, 2023 - CHI vs. OKC",L,112.37,42.09,89.44,47.2,11.47,31.95,35.78,16.73,21.15,79.29,11.15,32.69,43.84,24.96,12.23,7.75,4.83,18.83,-1.21
