MATCH UP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Dec 20, 2019 - OKC vs. PHX",W,48,126,49,87,56.3,10,24,41.7,18,21,85.7,8,33,41,23,15,7,7,23,18
"Dec 18, 2019 - OKC vs. MEM",W,48,126,46,84,54.8,7,24,29.2,27,34,79.4,6,29,35,25,12,6,6,16,4
"Dec 16, 2019 - OKC vs. CHI",W,48,109,35,69,50.7,16,34,47.1,23,28,82.1,9,33,42,21,26,8,6,15,3
"Dec 14, 2019 - OKC @ DEN",L,48,102,38,81,46.9,6,23,26.1,20,23,87.0,7,30,37,22,15,7,3,23,-8
"Dec 11, 2019 - OKC @ SAC",L,48,93,34,79,43.0,13,33,39.4,12,18,66.7,7,36,43,24,18,8,8,16,-1
"Dec 09, 2019 - OKC @ UTA",W,48,104,40,85,47.1,8,28,28.6,16,19,84.2,2,44,46,21,11,9,7,20,14
"Dec 08, 2019 - OKC @ POR",W,48,108,35,85,41.2,11,32,34.4,27,34,79.4,13,41,54,12,10,7,2,22,12
"Dec 06, 2019 - OKC vs. MIN",W,53,139,49,88,55.7,5,18,27.8,36,40,90.0,9,30,39,19,10,8,9,20,12
"Dec 04, 2019 - OKC vs. IND",L,48,100,41,84,48.8,9,26,34.6,9,10,90.0,8,29,37,25,13,3,5,19,-7
"Dec 01, 2019 - OKC @ NOP",W,48,107,38,81,46.9,11,33,33.3,20,26,76.9,5,42,47,19,11,5,3,14,3
"Nov 29, 2019 - OKC vs. NOP",W,48,109,43,90,47.8,13,34,38.2,10,16,62.5,6,36,42,27,11,6,8,17,5
"Nov 27, 2019 - OKC @ POR",L,48,119,39,88,44.3,11,35,31.4,30,38,78.9,8,30,38,19,6,4,2,21,-17
"Nov 25, 2019 - OKC @ GSW",W,48,100,40,85,47.1,11,32,34.4,9,11,81.8,9,34,43,26,16,5,13,16,3
"Nov 22, 2019 - OKC vs. LAL",L,48,127,49,93,52.7,11,31,35.5,18,20,90.0,6,31,37,28,12,8,3,23,-3
"Nov 19, 2019 - OKC @ LAL",L,48,107,38,80,47.5,9,28,32.1,22,25,88.0,8,31,39,22,16,10,2,22,-5
"Nov 18, 2019 - OKC @ LAC",L,48,88,28,75,37.3,7,27,25.9,25,28,89.3,9,36,45,17,17,12,4,19,-2
"Nov 15, 2019 - OKC vs. PHI",W,53,127,41,76,53.9,10,24,41.7,35,41,85.4,6,30,36,22,13,7,3,23,8
"Nov 12, 2019 - OKC @ IND",L,48,85,29,82,35.4,6,25,24.0,21,24,87.5,9,31,40,19,15,9,4,16,-26
"Nov 10, 2019 - OKC vs. MIL",L,48,119,45,91,49.5,17,42,40.5,12,17,70.6,5,30,35,31,15,11,4,20,-2
"Nov 09, 2019 - OKC vs. GSW",W,48,114,43,79,54.4,14,30,46.7,14,17,82.4,7,35,42,30,19,7,5,17,6
"Nov 07, 2019 - OKC @ SAS",L,48,112,42,80,52.5,10,21,47.6,18,24,75.0,4,27,31,26,13,7,2,14,-9
"Nov 05, 2019 - OKC vs. ORL",W,48,102,37,86,43.0,12,33,36.4,16,20,80.0,7,31,38,21,9,9,5,23,8
"Nov 02, 2019 - OKC vs. NOP",W,48,115,41,90,45.6,15,37,40.5,18,23,78.3,8,36,44,20,12,8,11,20,11
"Oct 30, 2019 - OKC vs. POR",L,48,99,33,84,39.3,4,27,14.8,29,37,78.4,13,42,55,15,19,8,2,21,-3
"Oct 28, 2019 - OKC @ HOU",L,48,112,41,94,43.6,13,35,37.1,17,24,70.8,16,36,52,22,15,7,3,27,-4
"Oct 27, 2019 - OKC vs. GSW",W,48,120,44,78,56.4,15,32,46.9,17,22,77.3,8,42,50,24,24,8,5,26,28
"Oct 25, 2019 - OKC vs. WAS",L,48,85,33,83,39.8,5,23,21.7,14,22,63.6,7,42,49,14,19,7,6,18,-12
"Oct 23, 2019 - OKC @ UTA",L,48,95,32,83,38.6,10,27,37.0,21,31,67.7,7,41,48,15,16,5,4,23,-5
