MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Jan 29, 2021 - MIN vs. PHI",L,113.96,41.19,91.07,45.31,13.69,38.83,35.31,17.91,23.5,76.6,10.31,33.02,43.33,26.2,13.93,8.85,5.5,20.69,-3.91
"Jan 27, 2021 - MIN @ GSW",L,113.6,41.07,90.91,45.26,13.62,38.73,35.21,17.84,23.4,76.62,10.2,33.04,43.24,26.09,14.0,8.75,5.47,20.84,-4.27
"Jan 25, 2021 - MIN @ GSW",L,113.55,41.0,90.84,45.21,13.62,38.68,35.28,17.93,23.57,76.49,10.21,32.95,43.16,26.04,14.05,8.8,5.5,20.86,-4.41
"Jan 23, 2021 - MIN vs. NOP",W,113.46,40.96,90.89,45.15,13.53,38.42,35.25,18.0,23.6,76.7,10.32,32.91,43.23,26.04,14.12,8.79,5.49,20.98,-4.72
"Jan 22, 2021 - MIN vs. ATL",L,113.57,40.93,90.9,45.11,13.5,38.34,35.25,18.21,23.83,76.77,10.38,32.97,43.34,25.98,14.1,8.88,5.47,21.0,-4.47
"Jan 20, 2021 - MIN vs. ORL",L,113.31,40.92,90.93,45.07,13.41,38.24,35.07,18.07,23.63,76.88,10.37,32.92,43.29,26.05,14.08,8.97,5.51,21.0,-4.69
"Jan 18, 2021 - MIN @ ATL",L,113.02,40.83,90.83,45.03,13.43,38.18,35.2,17.92,23.47,76.67,10.33,32.95,43.28,26.03,14.12,8.9,5.62,20.98,-4.63
"Jan 13, 2021 - MIN vs. MEM",L,112.75,40.75,90.84,44.94,13.44,38.16,35.25,17.8,23.34,76.54,10.31,32.9,43.21,25.97,14.18,9.02,5.62,20.98,-4.74
"Jan 10, 2021 - MIN vs. SAS",W,112.66,40.73,90.82,44.91,13.37,38.15,35.07,17.84,23.35,76.65,10.32,32.97,43.29,25.98,14.16,8.92,5.63,20.94,-4.84
"Jan 09, 2021 - MIN vs. SAS",L,112.4,40.62,90.67,44.87,13.3,37.95,35.06,17.86,23.35,76.75,10.3,33.13,43.43,25.87,14.16,8.87,5.59,20.87,-4.63
"Jan 07, 2021 - MIN @ POR",L,112.55,40.73,90.75,44.95,13.33,37.83,35.3,17.75,23.25,76.56,10.31,33.27,43.58,25.92,14.2,8.75,5.61,20.86,-4.61
"Jan 05, 2021 - MIN @ DEN",L,112.62,40.71,90.78,44.9,13.34,37.88,35.28,17.86,23.4,76.55,10.38,33.26,43.65,25.89,14.23,8.78,5.58,20.83,-4.82
"Jan 03, 2021 - MIN vs. DEN",L,112.67,40.73,90.79,44.92,13.3,37.82,35.23,17.91,23.45,76.57,10.38,33.24,43.62,25.86,14.23,8.77,5.56,20.98,-4.85
"Jan 01, 2021 - MIN vs. WAS",L,112.61,40.78,90.7,45.02,13.25,37.72,35.19,17.81,23.34,76.45,10.36,33.15,43.51,25.93,14.22,8.81,5.57,20.93,-5.0
"Dec 29, 2020 - MIN @ LAC",L,112.56,40.79,90.66,45.06,13.25,37.69,35.2,17.72,23.31,76.17,10.37,33.13,43.5,25.79,14.31,8.81,5.53,20.94,-5.24
"Dec 27, 2020 - MIN @ LAL",L,112.39,40.74,90.64,45.01,13.25,37.7,35.19,17.67,23.22,76.26,10.38,33.06,43.43,25.74,14.3,8.78,5.54,20.86,-5.49
"Dec 26, 2020 - MIN @ UTA",W,112.09,40.7,90.81,44.9,13.14,37.66,34.93,17.54,23.09,76.09,10.47,33.03,43.5,25.71,14.36,8.81,5.54,20.9,-5.93
"Dec 23, 2020 - MIN vs. DET",W,112.14,40.76,90.96,44.89,13.14,37.54,35.07,17.48,23.01,76.03,10.49,32.96,43.45,25.65,14.3,8.82,5.54,21.0,-5.77
