MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"May 14, 2021 - TOR @ DAL",L,113.0,39.0,97.0,40.2,12.0,38.0,31.6,23.0,29.0,79.3,16.0,32.0,48.0,21.0,12.0,8.0,3.0,12.0,-12.0
"May 13, 2021 - TOR @ CHI",L,111.5,40.5,91.0,44.8,12.5,38.0,32.9,18.0,23.0,77.9,10.0,36.0,46.0,20.0,12.0,7.5,4.0,15.0,-8.0
"May 11, 2021 - TOR vs. LAC",L,108.33,40.33,90.67,44.67,12.33,37.33,33.03,15.33,21.33,70.47,9.0,32.33,41.33,21.33,11.67,10.33,3.0,14.67,-9.33
"May 08, 2021 - TOR vs. MEM",L,105.25,39.0,89.5,43.67,11.75,37.25,31.53,15.5,20.75,73.9,9.0,30.75,39.75,21.25,12.0,10.25,4.25,16.5,-11.75
"May 06, 2021 - TOR vs. WAS",L,104.0,38.4,90.4,42.6,11.4,36.2,31.48,15.8,21.4,73.28,9.8,31.2,41.0,20.6,12.0,10.2,3.8,17.4,-11.4
"May 04, 2021 - TOR @ LAC",L,108.17,39.83,92.83,42.97,11.83,36.5,32.37,16.67,22.33,74.03,11.17,31.33,42.5,21.0,12.17,10.0,4.0,19.5,-9.83
"May 02, 2021 - TOR @ LAL",W,107.0,39.86,92.0,43.4,11.86,36.29,32.64,15.43,21.0,72.24,10.57,31.14,41.71,21.14,12.14,10.0,3.86,18.86,-9.14
"May 01, 2021 - TOR @ UTA",L,108.75,40.12,92.25,43.56,12.25,36.5,33.5,16.25,22.25,72.09,10.88,31.75,42.62,21.5,12.25,10.12,3.88,19.38,-7.12
"Apr 29, 2021 - TOR @ DEN",L,108.0,40.33,92.44,43.69,12.22,36.11,33.82,15.11,20.78,71.49,10.89,31.33,42.22,22.0,12.0,10.33,3.78,18.89,-6.78
"Apr 27, 2021 - TOR vs. BKN",L,108.3,40.3,91.5,44.14,12.6,35.7,35.44,15.1,20.5,72.67,10.5,31.1,41.6,22.5,12.4,10.3,4.0,18.9,-7.1
"Apr 26, 2021 - TOR vs. CLE",W,107.82,39.91,91.45,43.73,12.82,36.36,35.39,15.18,20.36,73.72,10.91,31.18,42.09,22.64,12.45,9.82,3.91,18.91,-7.64
"Apr 24, 2021 - TOR @ NYK",L,108.17,40.17,90.42,44.62,12.42,35.75,34.74,15.42,20.33,75.08,10.42,31.5,41.92,23.42,12.5,9.58,4.0,18.92,-5.67
"Apr 21, 2021 - TOR vs. BKN",W,107.77,39.85,89.85,44.52,12.77,36.38,35.04,15.31,20.23,74.97,10.0,31.23,41.23,24.0,12.08,9.31,3.92,18.92,-6.54
"Apr 18, 2021 - TOR vs. OKC",W,108.21,39.79,89.86,44.44,13.14,37.14,35.27,15.5,20.29,75.74,9.93,31.79,41.71,23.93,12.0,9.14,4.21,19.0,-5.29
"Apr 16, 2021 - TOR vs. ORL",W,108.47,39.6,90.27,44.04,13.4,37.2,35.9,15.87,20.53,76.52,10.33,31.73,42.07,23.87,12.2,9.13,4.27,18.73,-4.53
"Apr 14, 2021 - TOR vs. SAS",W,108.75,39.69,89.75,44.41,13.44,37.06,36.16,15.94,20.38,77.64,10.19,31.88,42.06,23.88,12.5,8.94,4.62,19.06,-3.56
"Apr 13, 2021 - TOR vs. ATL",L,109.24,39.76,89.65,44.54,13.47,36.65,36.78,16.24,20.65,78.01,10.35,32.41,42.76,23.71,12.71,8.88,4.65,19.06,-3.06
"Apr 11, 2021 - TOR @ NYK",L,108.89,39.89,89.56,44.72,13.28,36.78,36.16,15.83,20.22,77.52,10.11,32.61,42.72,23.28,12.72,8.78,4.61,19.06,-3.17
"Apr 10, 2021 - TOR @ CLE",W,108.21,39.53,89.0,44.56,13.16,36.63,35.96,16.0,20.37,77.79,9.84,32.74,42.58,23.05,12.95,8.74,4.74,19.26,-3.32
"Apr 08, 2021 - TOR vs. CHI",L,109.55,40.2,88.85,45.41,13.35,36.4,36.82,15.8,20.05,78.19,9.6,32.8,42.4,23.35,13.25,8.9,5.05,19.2,-2.15
