MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Nov 27, 2022 - MIA @ ATL",W,109.84,39.49,85.08,46.44,12.05,34.66,34.87,18.8,22.79,81.96,9.82,30.56,40.38,23.77,13.3,8.15,2.79,18.31,-0.26
"Nov 25, 2022 - MIA vs. WAS",W,109.77,39.5,85.03,46.48,12.0,34.63,34.75,18.77,22.73,82.08,9.76,30.71,40.47,23.84,13.31,8.15,2.82,18.27,-0.13
"Nov 23, 2022 - MIA vs. WAS",W,109.78,39.54,85.1,46.49,11.92,34.49,34.62,18.78,22.73,82.09,9.76,30.81,40.57,23.84,13.3,8.1,2.86,18.29,-0.08
"Nov 21, 2022 - MIA @ MIN",L,109.83,39.53,85.22,46.42,11.98,34.59,34.69,18.78,22.72,82.15,9.83,30.94,40.77,23.78,13.3,8.08,2.89,18.28,0.05
"Nov 20, 2022 - MIA @ CLE",L,109.69,39.46,85.29,46.3,11.97,34.65,34.6,18.8,22.83,81.92,9.86,30.98,40.85,23.82,13.32,8.09,2.92,18.31,-0.02
"Nov 18, 2022 - MIA @ WAS",L,109.35,39.33,85.21,46.19,11.88,34.59,34.37,18.8,22.82,81.98,9.88,30.8,40.68,23.71,13.36,8.06,2.92,18.27,-0.41
"Nov 16, 2022 - MIA @ TOR",L,109.3,39.27,85.4,46.03,11.87,34.72,34.24,18.9,22.96,81.93,9.88,30.99,40.87,23.7,13.31,8.03,2.94,18.22,-0.42
"Nov 14, 2022 - MIA vs. PHX",W,109.22,39.22,85.12,46.16,11.88,34.72,34.28,18.9,22.94,81.99,9.79,30.81,40.6,23.63,13.46,7.99,2.96,18.25,-0.53
"Nov 12, 2022 - MIA vs. CHA",W,109.28,39.2,85.09,46.15,11.93,34.7,34.44,18.94,22.97,82.08,9.9,30.72,40.62,23.62,13.48,7.96,2.97,18.13,-0.51
"Nov 10, 2022 - MIA vs. CHA",W,109.6,39.34,85.2,46.24,11.99,34.79,34.51,18.93,22.94,82.13,9.89,30.81,40.7,23.74,13.46,7.94,3.0,18.14,-0.26
"Nov 07, 2022 - MIA vs. POR",L,109.7,39.34,85.27,46.2,11.96,34.8,34.42,19.07,23.13,82.11,9.86,30.8,40.66,23.7,13.42,7.96,2.97,18.24,-0.18
"Nov 04, 2022 - MIA @ IND",L,109.67,39.35,85.25,46.22,11.99,34.86,34.44,18.99,23.01,82.17,9.79,30.75,40.54,23.76,13.4,8.0,2.96,18.24,-0.22
"Nov 02, 2022 - MIA vs. SAC",W,109.52,39.23,85.19,46.11,11.97,34.92,34.35,19.08,23.05,82.42,9.77,30.79,40.56,23.67,13.48,8.03,2.95,18.29,-0.25
"Nov 01, 2022 - MIA vs. GSW",W,109.53,39.3,85.24,46.16,11.96,34.91,34.32,18.97,22.92,82.45,9.76,30.88,40.64,23.72,13.45,7.99,2.97,18.31,-0.2
"Oct 29, 2022 - MIA @ SAC",L,109.61,39.31,85.28,46.15,12.01,35.0,34.37,18.99,22.88,82.68,9.75,30.87,40.61,23.83,13.47,7.97,2.97,18.28,-0.11
"Oct 27, 2022 - MIA @ GSW",L,109.66,39.29,85.33,46.1,12.0,34.91,34.44,19.08,22.99,82.7,9.74,30.79,40.53,23.75,13.41,7.96,2.97,18.37,-0.18
"Oct 26, 2022 - MIA @ POR",W,109.66,39.29,85.36,46.08,12.03,35.01,34.42,19.06,22.97,82.69,9.71,30.69,40.4,23.77,13.39,8.06,3.0,18.32,-0.35
"Oct 24, 2022 - MIA vs. TOR",L,109.78,39.35,85.38,46.14,12.06,35.05,34.48,19.03,22.92,82.71,9.78,30.69,40.47,23.9,13.45,8.13,2.99,18.37,-0.08
"Oct 22, 2022 - MIA vs. TOR",W,109.53,39.22,85.35,46.0,12.01,35.04,34.34,19.09,22.97,82.78,9.76,30.78,40.54,23.84,13.43,8.09,2.99,18.33,-0.18
"Oct 21, 2022 - MIA vs. BOS",L,109.56,39.2,85.24,46.05,12.0,34.98,34.37,19.16,23.02,82.91,9.71,30.88,40.59,23.89,13.46,8.01,2.98,18.43,-0.14
"Oct 19, 2022 - MIA vs. CHI",L,109.49,39.23,85.32,46.04,11.95,34.86,34.33,19.07,22.93,82.87,9.73,30.8,40.53,23.88,13.42,8.01,2.98,18.42,-0.22
