MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Jan 26, 2023 - HOU vs. CLE",L,112.7,42.0,89.73,46.84,9.24,28.36,32.62,19.45,25.61,75.47,13.88,31.61,45.48,22.39,14.97,7.45,4.18,20.36,-8.06
"Jan 25, 2023 - HOU vs. WAS",L,112.18,41.91,89.32,46.97,9.12,28.15,32.36,19.24,25.44,75.01,13.76,31.74,45.5,22.44,15.18,7.38,4.24,20.35,-8.35
"Jan 23, 2023 - HOU vs. MIN",W,111.91,41.91,89.54,46.87,9.0,28.14,31.95,19.09,25.29,74.87,13.86,31.97,45.83,22.63,15.14,7.31,4.4,20.2,-8.26
"Jan 21, 2023 - HOU @ MIN",L,112.11,41.97,89.5,46.96,9.06,28.19,32.08,19.11,25.42,74.64,13.81,32.06,45.86,22.67,15.36,7.42,4.42,20.06,-7.89
"Jan 18, 2023 - HOU vs. CHA",L,111.89,41.86,89.22,46.99,9.05,28.08,32.23,19.11,25.62,74.18,13.84,32.3,46.14,22.7,15.57,7.32,4.46,20.03,-7.92
"Jan 16, 2023 - HOU @ LAL",L,112.03,41.97,89.26,47.08,9.08,28.18,32.2,19.0,25.47,74.2,13.79,32.37,46.16,22.66,15.68,7.24,4.47,20.08,-7.84
"Jan 15, 2023 - HOU @ LAC",L,112.54,42.15,89.54,47.13,9.13,28.23,32.32,19.1,25.62,74.2,13.87,32.33,46.21,22.79,15.49,7.05,4.54,20.21,-7.85
"Jan 13, 2023 - HOU @ SAC",L,112.22,42.05,89.4,47.08,9.07,28.3,32.07,19.05,25.55,74.19,13.78,32.25,46.02,22.77,15.6,7.08,4.58,20.12,-8.18
"Jan 11, 2023 - HOU @ SAC",L,112.27,42.07,89.44,47.09,9.15,28.51,32.08,18.98,25.54,73.95,13.73,32.0,45.73,22.78,15.59,7.15,4.56,20.22,-8.59
"Jan 08, 2023 - HOU vs. MIN",L,112.33,42.12,89.6,47.05,9.31,28.81,32.25,18.79,25.33,73.73,13.6,32.19,45.79,22.95,15.55,7.14,4.52,20.29,-8.86
"Jan 05, 2023 - HOU vs. UTA",L,111.95,42.02,89.58,46.95,9.35,28.98,32.21,18.56,25.09,73.41,13.56,32.12,45.67,23.02,15.65,7.16,4.58,20.26,-8.84
"Jan 04, 2023 - HOU @ NOP",L,112.0,41.93,89.64,46.82,9.48,29.27,32.29,18.66,25.11,73.75,13.57,32.18,45.75,22.93,15.64,7.09,4.55,20.27,-9.02
"Jan 02, 2023 - HOU vs. DAL",L,111.91,41.87,89.6,46.77,9.53,29.47,32.27,18.64,25.16,73.59,13.53,32.16,45.69,22.98,15.58,7.16,4.53,20.31,-9.07
"Dec 31, 2022 - HOU vs. NYK",L,111.78,41.78,89.43,46.76,9.52,29.46,32.25,18.7,25.24,73.57,13.41,32.28,45.7,22.93,15.46,7.09,4.52,20.48,-8.98
"Dec 29, 2022 - HOU @ DAL",L,111.28,41.51,89.17,46.57,9.62,29.81,32.21,18.64,25.19,73.48,13.38,32.45,45.83,22.87,15.66,7.02,4.55,20.55,-9.21
"Dec 27, 2022 - HOU @ BOS",L,111.33,41.44,89.1,46.52,9.67,29.9,32.27,18.79,25.44,73.42,13.35,32.52,45.88,22.83,15.6,6.98,4.46,20.6,-9.33
"Dec 26, 2022 - HOU @ CHI",W,111.14,41.37,89.22,46.38,9.76,30.2,32.25,18.65,25.2,73.67,13.35,32.59,45.94,22.86,15.59,6.94,4.41,20.51,-9.63
"Dec 23, 2022 - HOU vs. DAL",L,111.58,41.54,89.24,46.57,9.9,30.48,32.37,18.6,25.14,73.65,13.24,32.68,45.92,22.96,15.54,6.94,4.42,20.4,-9.14
"Dec 21, 2022 - HOU vs. ORL",L,111.47,41.45,89.08,46.55,9.86,30.39,32.34,18.71,25.2,73.88,13.22,32.69,45.9,23.02,15.53,6.98,4.39,20.41,-9.08
"Dec 19, 2022 - HOU vs. SAS",L,111.44,41.44,89.06,46.55,10.0,30.63,32.48,18.56,25.04,73.71,13.13,32.83,45.96,23.0,15.56,6.96,4.38,20.46,-9.02
"Dec 17, 2022 - HOU vs. POR",L,111.32,41.42,89.15,46.48,9.91,30.51,32.26,18.58,25.15,73.53,13.19,32.68,45.87,23.0,15.47,7.08,4.36,20.38,-9.21
"Dec 15, 2022 - HOU vs. MIA",L,111.02,41.31,89.17,46.36,9.78,30.48,31.85,18.61,25.22,73.45,13.28,32.69,45.96,22.93,15.5,7.07,4.39,20.33,-9.26
