MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Dec 04, 2022 - BKN vs. BOS",L,114.44,41.63,85.98,48.59,13.21,34.68,38.49,17.96,22.4,80.52,8.58,32.07,40.65,25.33,13.33,7.21,5.74,20.63,0.88
"Dec 02, 2022 - BKN vs. TOR",W,114.05,41.5,85.95,48.46,13.14,34.53,38.42,17.91,22.4,80.31,8.62,32.1,40.72,25.19,13.36,7.19,5.76,20.59,0.67
"Nov 30, 2022 - BKN vs. WAS",W,114.05,41.54,85.88,48.54,13.1,34.49,38.35,17.86,22.39,80.1,8.59,32.14,40.73,25.22,13.44,7.19,5.75,20.69,0.81
"Nov 28, 2022 - BKN vs. ORL",W,114.03,41.5,85.85,48.51,13.07,34.35,38.42,17.97,22.45,80.3,8.52,32.12,40.63,25.17,13.37,7.2,5.77,20.77,0.9
"Nov 27, 2022 - BKN vs. POR",W,113.95,41.54,85.77,48.6,13.0,34.25,38.31,17.87,22.31,80.39,8.51,32.15,40.66,25.08,13.44,7.2,5.8,20.74,1.0
"Nov 25, 2022 - BKN @ IND",L,113.9,41.53,85.65,48.67,13.03,34.26,38.39,17.81,22.24,80.35,8.44,32.18,40.61,25.11,13.35,7.18,5.74,20.79,1.21
"Nov 23, 2022 - BKN @ TOR",W,113.95,41.62,85.68,48.74,13.06,34.37,38.36,17.65,22.05,80.34,8.38,32.19,40.57,25.14,13.44,7.1,5.78,20.9,1.02
"Nov 22, 2022 - BKN @ PHI",L,113.92,41.67,85.62,48.84,13.12,34.42,38.46,17.45,21.81,80.2,8.36,32.19,40.55,25.25,13.56,7.14,5.86,20.95,1.22
"Nov 20, 2022 - BKN vs. MEM",W,113.8,41.71,85.54,48.93,13.06,34.32,38.36,17.32,21.68,80.04,8.29,32.17,40.46,25.34,13.58,7.11,5.97,20.86,1.06
"Nov 17, 2022 - BKN @ POR",W,114.0,41.83,85.5,49.1,13.11,34.32,38.49,17.23,21.58,79.93,8.24,32.29,40.53,25.45,13.67,7.08,5.95,20.92,1.23
"Nov 15, 2022 - BKN @ SAC",L,113.93,41.81,85.4,49.13,13.07,34.24,38.49,17.24,21.6,79.91,8.19,32.43,40.63,25.55,13.72,7.03,5.94,20.97,1.24
"Nov 13, 2022 - BKN @ LAL",L,114.03,41.78,85.34,49.13,13.04,34.15,38.5,17.43,21.76,80.07,8.12,32.34,40.46,25.54,13.76,7.0,5.9,20.93,0.75
"Nov 12, 2022 - BKN @ LAC",W,113.87,41.7,85.26,49.07,12.96,34.04,38.31,17.52,21.9,80.03,8.12,32.35,40.46,25.49,13.75,6.97,5.88,20.87,0.55
"Nov 09, 2022 - BKN vs. NYK",W,113.81,41.67,85.23,49.06,13.0,34.06,38.42,17.47,21.89,79.84,8.09,32.39,40.47,25.51,13.74,7.0,5.89,20.83,0.76
"Nov 07, 2022 - BKN @ DAL",L,113.79,41.68,85.25,49.05,13.01,34.06,38.46,17.42,21.86,79.7,8.13,32.55,40.68,25.58,13.76,7.06,5.87,20.85,1.13
"Nov 05, 2022 - BKN @ CHA",W,113.51,41.58,85.18,48.98,12.97,33.99,38.4,17.38,21.82,79.62,8.21,32.38,40.58,25.53,13.76,7.14,5.86,20.92,1.08
"Nov 04, 2022 - BKN @ WAS",W,113.3,41.47,85.16,48.84,12.96,34.01,38.33,17.41,21.82,79.77,8.22,32.37,40.59,25.49,13.73,7.15,5.92,20.92,1.12
"Nov 01, 2022 - BKN vs. CHI",L,113.5,41.58,85.23,48.93,12.97,33.93,38.49,17.36,21.72,80.05,8.2,32.49,40.69,25.58,13.66,7.16,5.93,20.89,1.68
"Oct 31, 2022 - BKN vs. IND",W,113.31,41.51,85.08,48.93,12.96,33.91,38.48,17.33,21.68,80.03,8.15,32.51,40.65,25.6,13.72,7.12,5.95,20.88,1.53
"Oct 29, 2022 - BKN vs. IND",L,113.34,41.53,85.01,48.99,12.93,33.86,38.46,17.36,21.66,80.23,8.12,32.51,40.63,25.61,13.8,7.17,5.99,20.84,1.61
"Oct 27, 2022 - BKN vs. DAL",L,113.38,41.52,84.97,49.01,12.95,33.92,38.42,17.39,21.71,80.19,8.09,32.45,40.55,25.65,13.74,7.16,6.03,20.83,1.47
"Oct 26, 2022 - BKN @ MIL",L,113.53,41.54,85.08,48.97,12.94,33.94,38.37,17.51,21.82,80.31,8.15,32.45,40.6,25.58,13.76,7.19,6.03,20.92,1.4
"Oct 24, 2022 - BKN @ MEM",L,113.34,41.44,85.09,48.85,12.86,33.85,38.21,17.59,21.92,80.31,8.14,32.42,40.56,25.54,13.76,7.19,6.03,20.96,1.24
"Oct 21, 2022 - BKN vs. TOR",W,113.47,41.51,85.11,48.92,12.81,33.79,38.12,17.64,21.98,80.31,8.15,32.34,40.49,25.56,13.72,7.15,6.04,21.07,1.1
"Oct 19, 2022 - BKN vs. NOP",L,113.42,41.47,85.05,48.9,12.81,33.8,38.11,17.67,22.06,80.17,8.21,32.32,40.53,25.57,13.72,7.1,6.12,21.05,1.14
