MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Jan 09, 2023 - NOP @ WAS",W,111.29,41.32,85.93,48.17,10.68,29.37,36.18,17.98,22.34,80.93,9.27,32.61,41.88,25.71,13.95,7.9,3.78,20.37,-0.61
"Jan 07, 2023 - NOP @ DAL",L,111.79,41.5,86.1,48.28,10.67,29.29,36.24,18.12,22.55,80.85,9.33,32.6,41.93,25.67,13.86,7.93,3.81,20.38,-0.12
"Jan 06, 2023 - NOP vs. BKN",L,111.91,41.58,86.28,48.27,10.53,29.28,35.79,18.21,22.84,80.43,9.47,32.51,41.98,25.67,13.84,8.07,3.81,20.49,-0.35
"Jan 04, 2023 - NOP vs. HOU",W,111.68,41.43,86.32,48.08,10.57,29.27,35.92,18.25,22.89,80.42,9.57,32.61,42.18,25.45,13.89,8.05,3.82,20.48,-0.48
"Jan 02, 2023 - NOP @ PHI",L,111.84,41.42,86.38,48.03,10.64,29.47,35.94,18.36,22.96,80.6,9.69,32.69,42.38,25.44,13.91,8.0,3.87,20.44,-0.22
"Dec 31, 2022 - NOP @ MEM",L,111.83,41.43,86.33,48.07,10.65,29.46,35.98,18.3,22.89,80.59,9.7,32.83,42.52,25.46,13.98,7.89,3.91,20.48,-0.41
"Dec 30, 2022 - NOP vs. PHI",W,111.6,41.23,86.43,47.8,10.6,29.47,35.79,18.53,23.17,80.59,9.81,32.79,42.6,25.26,14.11,7.85,3.91,20.49,-0.72
"Dec 28, 2022 - NOP vs. MIN",W,111.92,41.27,86.29,47.93,10.69,29.5,36.05,18.69,23.44,80.41,9.75,32.71,42.46,25.12,14.1,7.98,3.9,20.48,-0.48
"Dec 26, 2022 - NOP vs. IND",W,112.06,41.22,86.18,47.93,10.69,29.37,36.29,18.92,23.84,80.2,9.73,32.73,42.47,25.06,14.12,7.94,3.9,20.55,-0.45
"Dec 23, 2022 - NOP @ OKC",W,112.08,41.22,86.26,47.88,10.72,29.58,36.16,18.92,23.84,80.18,9.86,32.84,42.7,25.16,14.16,7.98,3.94,20.52,-0.04
"Dec 22, 2022 - NOP vs. SAS",W,112.39,41.22,86.41,47.8,10.76,29.73,36.14,19.2,24.16,80.22,9.92,33.02,42.94,25.25,14.29,8.02,3.94,20.53,0.02
"Dec 19, 2022 - NOP vs. MIL",L,112.65,41.27,86.5,47.81,10.81,29.81,36.18,19.31,24.21,80.46,10.04,32.96,43.0,25.25,14.35,8.06,3.98,20.6,0.19
"Dec 17, 2022 - NOP @ PHX",L,112.77,41.28,86.74,47.71,10.94,30.09,36.25,19.26,24.21,80.28,10.17,32.85,43.02,25.34,14.36,8.08,3.91,20.58,0.02
"Dec 15, 2022 - NOP @ UTA",L,112.8,41.35,86.56,47.91,11.0,30.09,36.45,19.09,24.0,80.22,10.06,32.83,42.89,25.37,14.41,7.96,3.93,20.7,-0.06
"Dec 13, 2022 - NOP @ UTA",L,113.09,41.45,86.78,47.9,11.02,30.09,36.51,19.16,24.07,80.25,10.22,32.78,43.0,25.35,14.47,7.96,3.96,20.87,-0.11
"Dec 11, 2022 - NOP vs. PHX",W,112.86,41.38,86.89,47.75,10.89,30.04,36.12,19.21,24.23,80.01,10.3,32.7,43.0,25.34,14.52,8.04,3.95,20.8,-0.48
"Dec 09, 2022 - NOP vs. PHX",W,113.14,41.53,86.88,47.94,10.84,29.95,36.05,19.25,24.3,79.92,10.25,32.75,43.0,25.44,14.56,8.07,3.93,20.89,-0.39
