MATCH UP,W/L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
"Aug 12, 2020 - PHI vs. TOR",L,134.0,49.0,87.0,56.3,18.0,38.0,47.4,18.0,22.0,81.8,8.0,43.0,51.0,31.0,16.0,8.0,4.0,19.0,38.0
"Aug 11, 2020 - PHI vs. PHX",L,127.5,44.0,85.5,51.35,17.5,39.0,44.95,22.0,27.5,80.3,8.5,40.5,49.0,29.0,16.5,8.5,7.0,24.0,17.0
"Aug 09, 2020 - PHI @ POR",L,124.0,44.67,88.0,50.73,16.67,37.0,45.13,18.0,23.0,77.33,9.33,34.67,44.0,28.67,14.0,7.33,6.0,22.67,7.0
"Aug 07, 2020 - PHI vs. ORL",W,123.25,45.25,90.25,50.17,16.0,35.25,45.53,16.75,21.5,77.12,10.5,34.5,45.0,27.5,14.25,7.0,5.25,22.75,4.5
"Aug 05, 2020 - PHI @ WAS",W,120.2,43.8,90.8,48.32,14.4,34.0,41.94,18.2,23.8,76.24,11.4,34.8,46.2,25.8,13.2,6.4,5.0,22.2,5.0
"Aug 03, 2020 - PHI vs. SAS",W,118.0,42.83,89.33,47.98,13.83,33.17,41.27,18.5,24.67,75.03,10.5,34.83,45.33,26.0,13.33,7.17,4.83,22.0,5.67
"Aug 01, 2020 - PHI @ IND",L,120.0,43.29,89.0,48.69,13.86,32.86,41.83,19.57,25.43,76.7,10.14,33.71,43.86,26.0,13.29,7.0,5.0,22.43,5.14
"Mar 11, 2020 - PHI vs. DET",W,120.12,43.62,89.5,48.79,13.25,31.88,41.1,19.62,25.38,77.11,11.38,33.88,45.25,25.25,14.25,6.88,5.0,23.38,3.75
"Mar 07, 2020 - PHI @ GSW",L,120.56,43.44,88.78,48.99,13.33,32.0,41.24,20.33,26.11,77.58,11.56,34.22,45.78,25.56,14.22,6.89,4.89,22.78,5.33
"Mar 05, 2020 - PHI @ SAC",W,119.9,43.2,88.3,48.97,13.3,32.2,40.94,20.2,25.7,78.46,11.5,33.8,45.3,25.9,13.9,6.5,4.6,22.6,4.4
"Mar 03, 2020 - PHI @ LAL",L,120.36,43.55,89.0,48.97,13.64,32.64,41.39,19.64,24.91,78.82,11.73,33.55,45.27,25.73,13.82,6.64,4.36,22.18,5.55
"Mar 01, 2020 - PHI @ LAC",L,119.25,43.08,88.67,48.62,13.83,33.25,41.27,19.25,24.5,78.5,11.75,33.25,45.0,25.58,13.92,6.92,4.08,21.75,4.0
"Feb 27, 2020 - PHI vs. NYK",W,120.08,43.46,89.15,48.76,14.38,34.0,41.85,18.77,24.15,77.46,11.62,32.77,44.38,25.69,13.62,6.92,4.08,22.23,3.23
"Feb 26, 2020 - PHI @ CLE",L,119.71,43.57,89.29,48.81,14.43,33.79,42.32,18.14,23.36,77.42,11.57,32.79,44.36,26.14,13.07,6.79,4.29,21.86,3.64
"Feb 24, 2020 - PHI vs. ATL",W,118.0,43.07,89.27,48.25,14.33,34.07,41.78,17.53,22.73,76.55,11.33,32.13,43.47,25.87,12.8,7.2,4.6,21.13,2.47
"Feb 22, 2020 - PHI @ MIL",L,118.69,43.19,89.19,48.43,14.19,33.81,41.67,18.12,23.19,77.39,11.19,32.56,43.75,25.94,12.75,7.31,4.62,21.19,3.38
"Feb 20, 2020 - PHI vs. BKN",W,117.47,42.71,89.76,47.66,14.12,34.06,41.23,17.94,22.88,77.74,11.18,32.53,43.71,25.41,12.71,7.47,4.59,20.94,1.94
"Feb 11, 2020 - PHI vs. LAC",W,117.17,42.44,89.56,47.47,13.56,33.39,39.95,18.72,23.56,78.49,11.17,32.78,43.94,25.06,12.78,7.61,4.67,21.0,2.28
"Feb 09, 2020 - PHI vs. CHI",W,116.79,42.53,89.84,47.41,13.26,33.05,39.41,18.47,23.42,77.87,11.16,33.11,44.26,25.05,12.53,7.37,4.79,20.47,2.53
"Feb 07, 2020 - PHI vs. MEM",W,116.85,42.5,89.55,47.54,13.15,32.75,39.47,18.7,23.85,77.58,11.35,32.9,44.25,25.25,12.7,7.6,4.85,20.35,2.75
"Feb 06, 2020 - PHI @ MIL",L,116.95,42.76,89.57,47.81,13.19,32.38,40.26,18.24,23.43,76.74,11.29,33.24,44.52,25.67,13.1,7.62,5.14,20.57,3.19
"Feb 03, 2020 - PHI @ MIA",L,116.23,42.5,90.0,47.34,13.45,32.95,40.35,17.77,23.0,75.85,11.27,33.5,44.77,25.59,13.0,7.59,5.09,20.27,2.55
"Feb 01, 2020 - PHI @ BOS",L,115.78,42.22,89.7,47.17,13.43,33.17,40.08,17.91,23.09,76.2,11.39,33.35,44.74,25.52,13.04,7.39,4.91,20.3,1.09
"Jan 30, 2020 - PHI @ ATL",L,114.92,41.75,89.46,46.74,13.17,33.17,39.29,18.25,23.42,76.52,11.46,33.38,44.83,25.08,13.08,7.33,4.83,20.58,0.17
"Jan 28, 2020 - PHI vs. GSW",W,115.0,41.6,89.16,46.72,13.0,33.08,38.88,18.8,24.28,76.3,11.32,33.4,44.72,24.96,13.04,7.48,4.72,20.6,-0.24
"Jan 25, 2020 - PHI vs. LAL",W,115.0,41.62,88.88,46.9,12.92,33.04,38.71,18.85,24.35,76.33,10.96,33.73,44.69,25.08,13.15,7.38,4.65,20.5,0.19
"Jan 22, 2020 - PHI @ TOR",L,114.74,41.59,88.48,47.11,12.93,33.19,38.57,18.63,24.15,76.03,10.85,33.7,44.56,24.85,13.52,7.56,4.59,20.41,0.81
"Jan 20, 2020 - PHI @ BKN",W,114.04,41.25,88.32,46.79,13.11,33.64,38.59,18.43,23.93,75.9,10.75,33.82,44.57,24.86,13.5,7.57,4.64,20.5,0.36
"Jan 18, 2020 - PHI @ NYK",W,114.14,41.28,88.52,46.71,13.1,33.83,38.41,18.48,24.03,75.83,10.79,33.72,44.52,25.03,13.48,7.72,4.69,20.62,0.55
"Jan 17, 2020 - PHI vs. CHI",W,113.33,41.03,88.17,46.61,13.0,33.77,38.17,18.27,23.87,75.41,10.6,33.8,44.4,25.07,13.5,7.73,4.73,20.57,0.63
"Jan 15, 2020 - PHI vs. BKN",W,112.9,41.0,87.97,46.68,12.87,33.61,37.94,18.03,23.45,76.21,10.55,33.84,44.39,25.23,13.48,7.77,4.81,20.29,0.97
"Jan 13, 2020 - PHI @ IND",L,113.03,41.12,87.97,46.82,12.81,33.5,37.9,17.97,23.5,75.82,10.62,33.91,44.53,25.22,13.44,7.75,5.0,20.38,1.28
"Jan 11, 2020 - PHI @ DAL",L,112.48,41.0,88.0,46.66,12.61,33.48,37.31,17.88,23.36,75.92,10.67,34.09,44.76,24.97,13.42,7.7,4.97,20.39,1.06
"Jan 09, 2020 - PHI vs. BOS",W,111.85,40.88,88.29,46.4,12.5,33.59,36.92,17.59,23.03,75.65,10.76,33.94,44.71,24.88,13.15,7.79,4.97,20.38,0.5
"Jan 06, 2020 - PHI vs. OKC",W,111.77,40.94,88.29,46.47,12.46,33.4,37.03,17.43,22.86,75.5,10.83,33.97,44.8,24.86,13.14,7.74,4.97,20.11,0.8
"Jan 03, 2020 - PHI @ HOU",L,112.0,41.08,88.33,46.6,12.47,33.19,37.39,17.36,22.72,75.72,10.78,33.94,44.72,25.03,13.06,7.64,4.83,20.33,0.97
"Dec 31, 2019 - PHI @ IND",L,111.89,41.11,88.43,46.58,12.3,33.03,36.98,17.38,22.78,75.62,10.76,33.95,44.7,25.22,13.0,7.62,4.86,20.38,0.68
"Dec 28, 2019 - PHI @ MIA",L,111.5,41.0,88.5,46.42,12.13,32.92,36.55,17.37,22.71,75.87,10.84,33.92,44.76,25.18,13.05,7.53,4.89,20.42,0.18
"Dec 27, 2019 - PHI @ ORL",L,111.62,41.03,88.51,46.44,12.08,32.85,36.47,17.49,22.87,75.87,10.77,34.05,44.82,25.15,13.0,7.46,4.87,20.51,0.15
"Dec 25, 2019 - PHI vs. MIL",W,111.25,40.88,88.47,46.28,12.03,32.75,36.42,17.48,22.82,75.99,10.68,34.15,44.83,25.1,13.07,7.53,4.83,20.55,0.12
"Dec 23, 2019 - PHI @ DET",W,111.49,40.95,88.78,46.22,12.24,33.02,36.7,17.34,22.63,76.09,10.76,34.17,44.93,25.2,12.95,7.56,4.88,20.34,0.41
"Dec 21, 2019 - PHI vs. WAS",W,111.81,41.21,88.93,46.42,12.24,32.95,36.77,17.14,22.36,76.23,10.9,34.1,45.0,25.38,12.93,7.57,4.95,20.36,0.79
"Dec 20, 2019 - PHI vs. DAL",L,112.12,41.4,89.05,46.55,12.28,32.95,36.9,17.05,22.33,75.9,11.02,34.16,45.19,25.44,12.95,7.56,4.93,20.49,1.16
"Dec 18, 2019 - PHI vs. MIA",L,111.8,41.32,89.07,46.45,12.23,32.98,36.73,16.93,22.23,75.69,11.02,34.18,45.2,25.43,13.0,7.59,4.86,20.39,0.7
"Dec 15, 2019 - PHI @ BKN",L,111.62,41.24,89.09,46.36,12.22,33.11,36.6,16.91,22.13,75.98,11.11,34.0,45.11,25.4,13.0,7.62,4.87,20.31,0.6
"Dec 13, 2019 - PHI vs. NOP",W,111.13,41.15,89.02,46.29,12.07,32.96,36.22,16.76,22.02,75.61,11.02,33.93,44.96,25.26,13.07,7.65,5.04,20.3,0.15
"Dec 12, 2019 - PHI @ BOS",W,111.23,41.19,88.98,46.35,11.96,32.68,36.2,16.89,22.28,75.44,10.98,34.02,45.0,25.23,13.02,7.64,5.11,20.38,0.3
"Dec 10, 2019 - PHI vs. DEN",W,111.31,41.19,88.83,46.43,12.0,32.58,36.49,16.94,22.29,75.59,10.92,34.08,45.0,25.27,13.0,7.56,5.17,20.35,0.42
"Dec 08, 2019 - PHI vs. TOR",W,111.02,41.1,88.84,46.33,12.0,32.65,36.42,16.82,22.16,75.45,10.94,34.14,45.08,25.24,13.08,7.59,5.12,20.24,0.51
"Dec 07, 2019 - PHI vs. CLE",W,111.0,41.08,88.64,46.42,12.04,32.64,36.57,16.8,22.14,75.46,10.84,34.14,44.98,25.36,13.24,7.58,5.12,20.2,0.62
"Dec 05, 2019 - PHI @ WAS",L,111.59,41.39,88.67,46.75,12.02,32.51,36.68,16.78,22.16,75.35,10.82,34.27,45.1,25.71,13.14,7.69,5.18,20.12,1.53
"Dec 02, 2019 - PHI vs. UTA",W,111.62,41.38,88.44,46.87,12.04,32.42,36.87,16.81,22.19,75.34,10.77,34.31,45.08,25.69,13.29,7.67,5.19,20.19,1.38
"Nov 30, 2019 - PHI vs. IND",W,111.45,41.3,88.49,46.75,12.06,32.3,37.12,16.79,22.21,75.23,10.72,34.4,45.11,25.66,13.32,7.75,5.15,20.23,1.53
"Nov 29, 2019 - PHI @ NYK",W,111.59,41.24,88.28,46.8,12.04,32.13,37.31,17.07,22.46,75.49,10.59,34.28,44.87,25.69,13.33,7.83,5.15,20.15,1.56
"Nov 27, 2019 - PHI vs. SAC",W,111.4,41.05,87.98,46.74,11.95,32.02,37.12,17.35,22.78,75.57,10.55,34.35,44.89,25.62,13.38,7.78,5.24,20.2,1.64
"Nov 25, 2019 - PHI @ TOR",L,111.14,40.96,87.79,46.74,11.82,31.91,36.8,17.39,22.8,75.71,10.48,34.48,44.96,25.52,13.45,7.79,5.32,20.05,1.71
"Nov 23, 2019 - PHI vs. MIA",W,110.88,40.88,87.79,46.64,11.88,32.05,36.82,17.25,22.68,75.36,10.54,34.53,45.07,25.51,13.49,7.77,5.28,20.05,1.6
"Nov 22, 2019 - PHI vs. SAS",W,110.91,40.9,87.71,46.7,11.91,32.0,37.01,17.21,22.59,75.59,10.5,34.55,45.05,25.55,13.52,7.83,5.22,20.17,2.03
"Nov 20, 2019 - PHI vs. NYK",W,110.98,40.98,87.73,46.79,11.88,31.9,37.04,17.14,22.53,75.46,10.54,34.61,45.15,25.66,13.54,7.83,5.2,20.19,2.19
