DATE,HOME TEAM,AWAY TEAM,Winner (H/A),HOME PTS,HOME FGM,HOME FGA,HOME FG%,HOME 3PM,HOME 3PA,HOME 3P%,HOME FTM,HOME FTA,HOME FT%,HOME OREB,HOME DREB,HOME REB,HOME AST,HOME TOV,HOME STL,HOME BLK,HOME PF,HOME +/-,AWAY PTS,AWAY FGM,AWAY FGA,AWAY FG%,AWAY 3PM,AWAY 3PA,AWAY 3P%,AWAY FTM,AWAY FTA,AWAY FT%,AWAY OREB,AWAY DREB,AWAY REB,AWAY AST,AWAY TOV,AWAY STL,AWAY BLK,AWAY PF,AWAY +/-
"Apr 18, 2021",ATL,IND,H,114.53,41.93,87.6,47.9,11.47,31.47,35.86,19.2,23.53,82.18,10.27,37.07,47.33,23.93,12.8,7.33,4.47,18.8,3.33,120.31,45.38,94.19,48.43,12.31,32.62,37.82,17.25,21.62,80.36,8.88,35.56,44.44,29.56,12.62,7.94,6.88,19.94,1.94
"Apr 15, 2021",ATL,MIL,A,115.44,42.12,87.88,47.96,11.56,31.5,36.16,19.62,24.19,81.82,10.5,37.06,47.56,23.69,12.62,7.38,4.62,18.81,3.88,123.06,45.76,92.41,49.61,13.53,36.53,36.65,18.0,23.65,75.64,9.94,37.65,47.59,25.35,13.18,7.76,4.76,17.76,3.71
"Apr 13, 2021",TOR,ATL,A,109.24,39.76,89.65,44.54,13.47,36.65,36.78,16.24,20.65,78.01,10.35,32.41,42.76,23.71,12.71,8.88,4.65,19.06,-3.06,115.06,41.94,87.76,47.81,11.71,31.65,36.45,19.47,23.88,82.28,10.35,36.71,47.06,23.65,12.59,7.24,4.59,18.59,3.0
"Apr 11, 2021",CHA,ATL,A,105.75,39.2,88.15,44.56,13.0,37.55,34.42,14.35,19.9,70.52,10.95,32.1,43.05,26.8,13.4,7.35,4.75,18.05,-4.9,114.67,41.83,87.56,47.79,11.78,31.56,36.83,19.22,23.78,81.49,10.22,36.39,46.61,23.5,12.67,7.22,4.44,18.44,3.11
"Apr 09, 2021",ATL,CHI,H,114.16,41.63,87.37,47.66,12.05,31.95,37.19,18.84,23.37,81.15,10.05,36.26,46.32,23.68,12.63,7.21,4.26,18.05,3.16,105.81,40.9,87.9,46.76,13.0,35.29,36.47,11.0,14.67,75.35,9.67,35.19,44.86,27.24,13.86,6.81,4.14,17.95,-0.76
"Apr 07, 2021",ATL,MEM,A,114.45,41.9,87.2,48.07,11.8,31.7,36.62,18.85,23.35,81.22,9.85,36.2,46.05,23.75,12.45,7.2,4.25,17.85,3.6,114.91,43.04,91.74,46.87,11.57,32.65,35.4,17.26,23.0,76.18,11.09,35.7,46.78,27.17,12.78,8.13,6.39,19.17,0.17
"Apr 06, 2021",ATL,NOP,H,114.38,42.05,87.86,47.91,11.71,31.52,36.58,18.57,22.95,81.49,9.9,35.95,45.86,23.86,12.19,7.1,4.19,17.9,2.57,113.77,42.32,91.05,46.69,8.91,27.86,31.84,20.23,28.14,71.82,12.09,37.45,49.55,25.73,15.23,8.36,4.36,18.18,-0.73
"Apr 04, 2021",ATL,GSW,H,114.77,42.14,87.86,48.0,12.09,31.5,37.85,18.41,22.91,80.88,9.91,35.77,45.68,23.86,12.14,7.09,4.27,18.14,3.18,117.95,42.77,87.86,48.73,16.5,42.05,39.07,15.91,19.73,80.45,8.18,35.77,43.95,28.59,15.09,8.5,4.5,19.95,8.36
"Apr 02, 2021",NOP,ATL,A,113.83,42.08,91.04,46.42,9.33,28.67,32.3,20.33,28.42,71.58,12.42,37.33,49.75,25.67,15.17,8.46,4.67,18.42,-1.04,114.87,41.83,87.57,47.8,12.09,31.52,37.83,19.13,23.87,80.75,9.91,35.91,45.83,23.65,12.26,7.22,4.22,18.17,3.3
"Apr 01, 2021",SAS,ATL,A,112.65,42.38,90.62,46.69,8.73,26.5,32.67,19.15,23.73,80.83,9.92,33.5,43.42,24.46,11.69,6.96,4.96,18.85,-3.15,115.33,42.12,87.54,48.15,12.12,31.42,38.12,18.96,23.75,80.36,9.75,35.92,45.67,23.71,12.38,7.33,4.42,18.38,4.12
"Mar 30, 2021",PHX,ATL,H,118.42,44.46,89.15,49.92,13.31,34.69,38.0,16.19,19.38,84.16,9.08,32.5,41.58,26.81,11.38,7.96,4.69,18.46,4.81,116.08,42.44,88.04,48.22,12.16,31.12,38.77,19.04,23.84,80.38,9.76,36.36,46.12,23.88,12.36,7.16,4.6,18.52,4.16
"Mar 28, 2021",DEN,ATL,H,113.77,42.35,88.42,47.95,11.96,33.42,35.88,17.12,20.54,83.34,10.58,34.58,45.15,26.62,14.0,7.92,4.73,19.19,4.65,115.85,42.38,87.92,48.22,12.19,31.15,38.84,18.88,23.73,80.03,9.62,36.12,45.73,24.12,12.15,7.23,4.46,18.46,3.73
